"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Dallas Cowboys","","47.6","14.9","12.6","20.6","2.8","0.0","364.8","5,662.8","119.3"
"Philadelphia Eagles","","55.5","12.6","9.6","16.4","2.7","0.4","354.6","5,348.2","117.1"
"New England Patriots","","46.6","15.3","9.5","14.3","3.0","0.1","358.3","5,683.4","114.2"
"Indianapolis Colts","","45.2","14.1","11.5","17.8","2.3","0.9","388.1","5,515.1","111.7"
"Pittsburgh Steelers","","51.4","15.2","8.8","12.3","1.9","0.1","354.6","5,585.2","110.9"
"Cleveland Browns","","46.0","14.1","10.0","16.4","2.5","0.2","368.7","5,495.1","109.5"
"San Francisco 49ers","","48.5","13.3","10.1","17.5","2.3","0.0","313.5","5,402.4","109.4"
"Washington Commanders","","49.3","13.0","9.6","16.6","2.3","0.5","381.0","5,591.1","109.1"
"New Orleans Saints","","48.0","14.4","9.0","13.8","2.2","0.2","338.8","5,179.8","108.5"
"Kansas City Chiefs","","46.9","12.7","9.8","15.1","2.5","0.5","367.8","5,604.3","108.0"
"Miami Dolphins","","46.6","13.7","9.5","15.7","2.3","0.5","376.4","5,541.4","107.6"
"Green Bay Packers","","43.2","15.6","8.9","14.0","2.3","0.5","373.7","5,838.4","107.1"
"Buffalo Bills","","43.9","15.0","9.8","15.0","1.9","0.6","325.8","5,488.5","106.1"
"Seattle Seahawks","","44.1","13.8","10.1","16.0","2.0","0.7","381.8","5,917.5","105.2"
"New York Jets","","46.0","13.7","8.1","14.6","2.2","1.0","354.9","5,324.2","105.1"
"Los Angeles Chargers","","42.9","14.3","10.0","16.0","2.0","0.6","401.9","6,133.9","104.9"
"Minnesota Vikings","","43.4","13.9","10.1","16.1","2.1","0.2","421.7","6,043.2","104.5"
"Houston Texans","","41.5","14.2","11.0","16.1","1.9","0.5","394.0","5,651.1","104.3"
"Detroit Lions","","42.4","13.2","10.3","18.1","2.2","0.6","410.5","6,126.4","103.9"
"Tampa Bay Buccaneers","","44.1","11.7","11.5","19.1","2.1","0.1","380.7","5,604.4","103.1"
"Baltimore Ravens","","45.7","12.0","10.3","17.9","2.1","0.2","338.4","5,676.8","102.9"
"Los Angeles Rams","","44.9","13.4","8.6","12.3","2.2","0.1","384.6","5,745.9","102.3"
"Carolina Panthers","","41.2","12.1","9.9","14.4","2.3","0.3","370.9","5,446.7","99.9"
"Jacksonville Jaguars","","39.1","13.0","10.4","17.6","2.3","0.0","353.5","5,554.1","99.8"
"New York Giants","","41.5","12.5","10.4","17.4","1.9","0.5","386.8","5,939.0","99.7"
"Tennessee Titans","","41.0","14.1","8.3","13.3","2.3","0.1","350.0","5,469.7","99.6"
"Cincinnati Bengals","","39.5","13.7","10.2","16.6","1.9","0.1","347.0","5,705.4","99.2"
"Denver Broncos","","41.5","14.3","9.0","15.5","1.8","0.1","364.8","5,541.1","99.0"
"Arizona Cardinals","","41.9","11.6","10.4","16.7","2.0","0.1","407.0","5,629.6","98.4"
"Atlanta Falcons","","33.0","14.4","10.1","17.4","2.3","0.6","379.7","5,797.0","96.7"
"Chicago Bears","","35.6","12.7","9.6","15.4","1.8","0.6","399.2","6,266.9","92.4"
"Las Vegas Raiders","","36.2","10.3","9.0","14.0","2.2","0.5","411.8","6,004.1","88.8"
""
""
