"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","609.8","405.4","4,834.0","37.7","11.2","64.9","356.8","3.2","1.9","383.9"
"Josh Allen","BUF","575.7","363.2","4,278.2","32.1","14.2","117.0","661.8","6.3","4.2","380.6"
"Jalen Hurts","PHI","494.0","318.3","3,823.3","23.8","10.1","157.6","800.9","11.0","2.9","378.4"
"Lamar Jackson","BAL","479.5","304.2","3,474.0","25.5","11.5","148.6","941.3","5.5","3.0","350.6"
"Joe Burrow","CIN","597.5","406.3","4,625.3","33.0","12.9","65.0","273.5","3.9","2.3","350.0"
"Justin Fields","CHI","407.8","250.6","2,911.2","20.2","12.8","161.3","1,070.3","6.9","3.5","326.0"
"Justin Herbert","LAC","627.5","421.8","4,596.0","30.1","12.7","57.1","221.0","2.0","2.0","321.6"
"Deshaun Watson","CLE","507.8","326.5","3,871.9","24.9","11.0","96.1","482.0","4.1","1.8","312.8"
"Trevor Lawrence","JAC","579.0","379.0","4,092.2","26.8","12.2","62.4","285.2","3.9","5.2","300.4"
"Kirk Cousins","MIN","592.6","394.9","4,442.3","30.5","12.3","31.6","91.8","1.5","2.8","300.3"
"Dak Prescott","DAL","550.4","363.2","4,110.9","29.1","13.9","58.0","248.5","2.3","3.1","299.8"
"Daniel Jones","NYG","515.3","335.6","3,474.0","20.8","9.8","109.3","638.5","4.9","4.1","297.3"
"Geno Smith","SEA","543.4","370.0","4,038.5","27.1","11.3","62.2","323.3","2.0","3.5","295.9"
"Aaron Rodgers","NYJ","565.1","365.8","4,099.7","28.4","8.6","36.0","124.0","1.6","2.6","285.3"
"Russell Wilson","DEN","511.9","323.1","3,814.8","24.3","10.7","63.5","317.9","2.6","2.1","282.4"
"Jared Goff","DET","568.2","373.1","4,217.8","27.6","10.9","31.1","80.1","1.2","3.5","276.4"
"Tua Tagovailoa","MIA","523.6","342.3","4,036.6","26.9","12.1","42.3","131.9","1.6","1.8","276.2"
"Anthony Richardson","IND","487.3","300.5","3,183.0","17.9","13.3","129.3","577.5","4.1","2.6","263.0"
"Derek Carr","NO","510.5","334.9","3,933.9","23.8","11.8","34.5","116.5","0.9","2.6","252.8"
"Matthew Stafford","LAR","528.2","350.9","3,984.2","24.4","13.2","30.0","71.3","0.9","2.8","250.6"
"Jordan Love","GB","544.6","344.3","3,814.9","23.2","14.8","43.0","166.6","1.5","2.6","250.5"
"Kenny Pickett","PIT","502.4","317.0","3,311.1","17.4","12.3","67.0","421.3","3.6","1.5","250.5"
"Brock Purdy","SF","432.2","282.5","3,370.0","23.6","9.8","36.1","107.0","2.1","1.4","239.9"
"Bryce Young","CAR","523.8","330.1","3,653.9","20.4","12.9","50.9","199.4","1.6","2.3","239.6"
"Jimmy Garoppolo","LV","483.4","319.6","3,556.4","21.3","11.6","30.3","66.5","1.5","2.3","227.0"
"C.J. Stroud","HOU","514.2","322.5","3,419.7","19.3","14.1","49.8","175.5","1.4","2.5","220.8"
"Mac Jones","NE","492.3","322.0","3,436.0","19.1","13.3","50.6","148.9","1.2","2.1","218.4"
"Ryan Tannehill","TEN","443.9","288.6","3,215.0","18.5","10.6","40.3","159.8","2.2","2.1","216.9"
"Kyler Murray","ARI","433.4","285.6","2,783.6","14.3","9.7","79.4","422.0","2.9","1.9","214.8"
"Sam Howell","WAS","467.2","291.9","3,002.4","16.7","12.0","49.9","208.6","1.7","2.5","201.0"
"Desmond Ridder","ATL","439.1","270.7","2,922.7","16.5","10.2","39.8","172.3","1.4","3.0","192.5"
"Baker Mayfield","TB","457.5","280.9","2,989.7","15.9","11.4","33.8","121.3","1.1","2.1","186.3"
"Jacoby Brissett","WAS","206.7","120.7","1,322.6","5.5","4.3","24.5","95.3","0.8","1.8","81.3"
"Kyle Trask","TB","226.5","136.9","1,364.1","6.0","6.5","18.7","50.2","0.2","1.2","76.1"
"Colt McCoy","ARI","165.0","106.9","1,179.2","4.6","4.6","17.4","58.7","0.5","1.0","67.6"
"Will Levis","TEN","143.6","89.0","1,027.4","4.2","4.7","18.3","60.7","0.3","0.9","59.5"
"Trey Lance","SF","126.7","78.2","802.9","3.0","3.5","23.1","94.3","0.6","0.9","52.1"
"Brian Hoyer","LV","97.8","59.4","742.1","4.0","4.0","10.4","32.5","0.2","0.8","44.8"
"Taylor Heinicke","ATL","99.2","60.7","706.7","3.8","4.0","18.1","51.1","0.2","1.2","43.4"
"Gardner Minshew II","IND","77.7","48.7","686.4","2.9","2.3","11.9","41.3","0.2","1.2","39.7"
"Sam Darnold","SF","126.5","73.7","620.1","2.6","3.7","15.8","45.1","0.1","1.1","34.2"
"Mike White","MIA","94.6","56.6","605.6","2.8","3.7","12.6","20.4","0.1","0.6","32.8"
"Bailey Zappe","NE","100.2","60.9","599.0","2.4","3.6","12.0","22.4","0.1","1.1","30.9"
"Clayton Tune","ARI","107.4","64.5","640.2","1.1","3.9","16.0","43.4","0.3","1.1","29.6"
"Davis Mills","HOU","84.3","49.4","514.8","1.7","4.0","14.5","31.8","0.2","0.6","26.5"
"Nate Sudfeld","DET","0.0","0.0","383.8","1.7","1.9","0.0","26.5","0.5","0.5","24.9"
"Tyrod Taylor","NYG","42.0","27.1","286.4","2.0","1.3","14.3","59.2","0.2","0.3","24.9"
"Brett Rypien","LAR","90.7","51.5","516.6","2.0","5.8","26.5","28.0","0.1","1.0","24.4"
"Marcus Mariota","PHI","54.7","34.3","325.7","1.6","1.2","15.4","48.9","0.3","0.4","23.8"
"Sean Clifford","GB","41.5","26.8","362.6","2.1","1.7","3.4","13.5","0.2","0.3","23.1"
"Tyler Huntley","BAL","52.5","32.8","319.4","1.4","1.4","19.8","59.9","0.2","0.5","23.1"
"Andy Dalton","CAR","65.2","40.6","406.2","1.9","2.4","7.3","15.6","0.1","0.4","22.7"
"Mitch Trubisky","PIT","56.9","37.3","349.6","1.6","1.7","8.2","24.6","0.2","0.2","22.0"
"Jarrett Stidham","DEN","60.3","34.4","350.4","2.2","2.1","5.3","11.1","0.1","0.4","21.8"
"Blaine Gabbert","KC","32.5","20.0","298.7","1.8","0.9","3.5","14.6","0.1","0.1","20.3"
"Zach Wilson","NYJ","154.7","84.2","594.9","0.4","7.4","8.2","14.6","0.2","0.7","19.5"
"Easton Stick","LAC","38.5","24.2","286.3","1.7","1.5","4.0","10.4","0.3","0.2","19.2"
