"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","216.9","1,004.4","7.5","75.0","636.2","4.2","1.0","269.5"
"Austin Ekeler","LAC","191.2","861.2","9.4","77.6","599.5","3.9","1.7","261.0"
"Josh Jacobs","LV","266.6","1,237.6","9.8","40.6","297.0","0.9","1.7","234.6"
"Nick Chubb","CLE","274.4","1,365.3","9.2","27.5","234.4","1.1","1.6","232.4"
"Derrick Henry","TEN","304.2","1,333.8","9.1","31.9","270.0","0.8","2.0","232.0"
"Saquon Barkley","NYG","251.7","1,124.4","7.9","51.9","367.4","1.7","1.2","230.3"
"Bijan Robinson","ATL","240.7","1,150.9","8.5","41.2","339.1","2.1","1.9","229.1"
"Tony Pollard","DAL","218.1","1,082.9","7.9","44.8","372.7","2.1","0.8","226.8"
"Joe Mixon","CIN","236.4","981.9","7.7","51.0","372.8","2.2","1.1","217.9"
"Rhamondre Stevenson","NE","218.9","1,044.7","6.5","55.8","383.3","1.5","1.6","215.2"
"Jonathan Taylor","IND","267.1","1,239.5","8.5","32.0","227.1","0.9","2.2","215.2"
"Aaron Jones","GB","201.8","992.9","5.6","51.4","385.3","2.8","1.3","210.9"
"Najee Harris","PIT","263.0","1,037.7","6.8","40.3","272.3","2.3","1.5","202.7"
"Breece Hall","NYJ","190.9","947.3","6.6","40.6","359.5","2.2","1.2","201.3"
"Travis Etienne Jr.","JAC","221.8","1,089.8","6.6","36.4","293.9","1.0","2.3","197.3"
"Alexander Mattison","MIN","214.7","935.8","8.0","33.4","229.4","1.6","1.2","188.1"
"James Conner","ARI","212.3","907.2","6.9","41.4","300.8","1.3","1.3","188.0"
"Kenneth Walker III","SEA","227.3","1,034.6","8.2","27.6","183.3","0.7","0.6","187.6"
"Jahmyr Gibbs","DET","177.3","778.1","6.5","44.2","348.8","2.0","1.5","182.5"
"Dameon Pierce","HOU","256.1","1,072.0","5.8","32.6","215.9","1.1","2.3","182.0"
"Rachaad White","TB","206.4","843.8","4.6","46.9","337.4","1.9","2.7","174.9"
"Miles Sanders","CAR","214.3","1,002.7","6.0","29.8","209.2","0.8","1.4","174.0"
"Isiah Pacheco","KC","196.8","940.4","6.9","25.0","204.3","0.7","1.9","168.8"
"Cam Akers","LAR","235.8","975.3","6.4","24.5","204.3","0.7","2.1","168.4"
"J.K. Dobbins","BAL","177.7","904.2","6.8","23.3","166.9","1.6","0.7","167.8"
"David Montgomery","DET","194.9","782.0","6.3","33.2","278.9","1.2","1.3","164.9"
"Javonte Williams","DEN","170.4","794.5","4.6","36.5","256.8","1.7","1.5","158.3"
"James Cook","BUF","152.8","777.3","4.6","34.7","261.2","1.7","1.4","156.5"
"Alvin Kamara","NO","164.7","691.1","3.6","40.9","357.4","1.7","1.1","155.3"
"D'Andre Swift","PHI","125.5","584.1","5.1","42.0","343.0","1.9","0.9","154.1"
"AJ Dillon","GB","169.5","738.3","5.8","25.9","205.5","0.8","0.9","145.0"
"Brian Robinson Jr.","WAS","213.5","896.4","4.5","16.3","105.9","0.7","0.7","137.9"
"Antonio Gibson","WAS","135.4","546.1","3.6","43.2","314.3","1.5","1.3","135.3"
"Samaje Perine","DEN","148.8","625.6","3.8","29.1","233.7","1.5","0.6","131.2"
"Khalil Herbert","CHI","152.9","764.9","4.3","18.6","125.2","0.7","0.6","127.0"
"Jeff Wilson Jr.","MIA","141.6","651.6","4.5","22.6","173.8","1.1","1.5","124.0"
"Rashaad Penny","PHI","161.5","776.8","5.3","9.1","61.4","0.3","1.0","120.1"
"Jamaal Williams","NO","156.8","649.1","5.3","14.0","104.9","0.5","1.0","114.7"
"Raheem Mostert","MIA","137.1","607.0","3.3","23.7","165.6","0.9","1.1","112.0"
"Elijah Mitchell","SF","144.5","654.3","4.2","13.1","95.6","0.8","0.6","110.3"
"Tyler Allgeier","ATL","148.6","689.9","3.3","11.5","89.7","0.5","0.6","105.4"
"Damien Harris","BUF","132.3","586.2","4.3","17.0","117.7","0.4","1.0","105.2"
"Jerick McKinnon","KC","58.3","228.6","1.7","39.3","335.9","3.1","0.5","103.5"
