"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","104.8","1,242.6","9.8","0.6","234.8"
"Mark Andrews","BAL","75.0","887.0","6.3","0.4","164.7"
"T.J. Hockenson","MIN","82.4","830.6","5.8","0.5","157.8"
"George Kittle","SF","60.7","800.3","6.1","0.5","146.5"
"Darren Waller","NYG","63.3","773.2","4.4","0.6","134.2"
"Dallas Goedert","PHI","64.5","756.8","4.2","0.6","132.2"
"Kyle Pitts","ATL","59.2","772.1","3.9","0.3","129.9"
"Evan Engram","JAC","63.8","657.1","3.6","0.5","118.9"
"Pat Freiermuth","PIT","59.7","634.3","4.0","0.5","116.5"
"Dalton Schultz","HOU","56.7","585.6","4.2","0.5","111.2"
"David Njoku","CLE","53.8","585.2","4.2","0.5","110.7"
"Chigoziem Okonkwo","TEN","48.2","587.5","3.8","0.0","108.3"
"Greg Dulcich","DEN","49.4","598.3","3.8","0.0","107.6"
"Tyler Higbee","LAR","60.7","565.7","3.4","0.3","106.8"
"Gerald Everett","LAC","52.6","533.4","3.7","0.6","100.5"
"Juwan Johnson","NO","40.4","476.4","4.2","0.0","92.9"
"Cole Kmet","CHI","42.5","469.6","3.9","0.1","91.6"
"Dalton Kincaid","BUF","41.3","486.9","3.7","0.4","91.0"
"Irv Smith Jr.","CIN","43.3","414.0","4.1","0.0","87.5"
"Noah Fant","SEA","44.6","461.4","2.8","0.1","85.2"
"Hunter Henry","NE","39.1","471.9","2.8","0.1","83.6"
"Hayden Hurst","CAR","45.3","437.6","3.0","0.5","83.6"
"Sam LaPorta","DET","39.4","437.2","3.3","0.4","82.4"
"Tyler Conklin","NYJ","46.0","428.0","2.3","0.0","80.3"
"Cade Otton","TB","44.2","440.4","2.1","0.0","79.0"
"Dawson Knox","BUF","35.4","400.7","3.5","0.2","78.4"
"Zach Ertz","ARI","43.0","427.0","2.4","0.4","77.6"
"Jelani Woods","IND","34.3","415.5","2.7","0.0","75.2"
"Logan Thomas","WAS","42.8","406.5","2.0","0.1","73.8"
"Mike Gesicki","NE","35.2","403.7","2.5","0.1","72.9"
"Michael Mayer","LV","36.7","389.6","2.7","0.4","72.7"
"Trey McBride","ARI","37.5","399.4","2.2","0.4","70.9"
"Luke Musgrave","GB","33.0","349.7","2.3","0.4","64.4"
"Taysom Hill","NO","12.7","188.1","1.8","1.2","58.2"
"Jake Ferguson","DAL","28.2","292.6","2.1","0.0","56.3"
"Austin Hooper","LV","29.1","308.3","1.7","0.0","55.9"
"Isaiah Likely","BAL","24.5","304.2","2.1","0.0","55.1"
"Luke Schoonmaker","DAL","23.7","260.1","1.6","0.4","47.0"
"Robert Tonyan","CHI","20.7","233.1","1.6","0.0","43.3"
"Donald Parham Jr.","LAC","17.9","215.1","1.5","0.0","39.7"
"Noah Gray","KC","20.1","225.2","1.0","0.0","39.4"
"Jordan Akins","CLE","18.6","225.1","1.2","0.2","38.7"
"Brock Wright","DET","17.3","176.7","2.0","0.0","38.6"
"Jonnu Smith","ATL","18.5","211.6","1.2","0.0","38.3"
"Will Dissly","SEA","19.0","215.6","1.1","0.0","37.7"
"C.J. Uzomah","NYJ","18.3","199.0","1.4","0.0","37.7"
"Brenton Strange","JAC","22.6","193.7","1.3","0.4","37.6"
"Durham Smythe","MIA","20.8","207.4","1.0","0.0","37.4"
"Foster Moreau","NO","16.2","232.9","1.0","0.4","36.5"
"Jimmy Graham","NO","19.3","181.8","1.2","0.1","35.0"
"Kylen Granson","IND","17.9","204.6","0.8","0.0","34.5"
"Josiah Deguara","GB","19.3","183.1","1.0","0.0","34.0"
"Tommy Tremble","CAR","16.7","159.3","1.6","0.5","33.4"
"Harrison Bryant","CLE","17.8","186.8","0.9","0.2","32.7"
"Brevin Jordan","HOU","16.0","202.2","0.6","0.0","31.5"
"Albert Okwuegbunam","DEN","14.8","180.6","1.1","0.3","31.4"
"Darnell Washington","PIT","15.2","194.8","0.8","0.4","31.2"
"Charlie Kolar","BAL","14.8","166.6","0.9","0.0","29.5"
"Josh Oliver","MIN","15.2","150.4","1.1","0.0","29.1"
"Colby Parkinson","SEA","14.5","171.3","0.8","0.0","29.1"
"Tucker Kraft","GB","14.0","168.3","0.9","0.4","28.8"
