"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Justin Jefferson","MIN","109.8","1,528.7","8.0","3.7","18.1","0.3","0.4","258.6"
"Ja'Marr Chase","CIN","107.0","1,376.9","10.0","5.2","24.6","0.1","1.1","252.2"
"Tyreek Hill","MIA","105.5","1,402.9","8.0","9.5","57.1","0.6","0.5","248.9"
"Cooper Kupp","LAR","103.5","1,319.9","8.7","7.1","70.0","0.9","0.6","246.7"
"CeeDee Lamb","DAL","97.4","1,274.6","8.0","8.5","55.1","0.3","0.5","230.1"
"Stefon Diggs","BUF","96.5","1,285.8","8.5","0.8","3.9","0.0","0.6","226.9"
"Davante Adams","LV","94.4","1,235.3","9.0","1.8","6.7","0.1","0.5","224.8"
"A.J. Brown","PHI","79.1","1,209.1","8.7","0.4","4.6","0.0","0.6","212.0"
"Amon-Ra St. Brown","DET","101.0","1,147.5","5.8","7.8","62.4","0.4","0.4","208.3"
"Jaylen Waddle","MIA","79.5","1,179.8","6.5","4.1","35.8","0.3","0.6","200.4"
"Garrett Wilson","NYJ","84.8","1,145.4","6.1","1.9","3.3","0.0","0.7","192.1"
"Amari Cooper","CLE","75.3","1,062.5","7.3","0.7","1.9","0.0","0.3","187.5"
"Tee Higgins","CIN","80.2","1,088.3","6.5","0.7","2.9","0.0","0.5","187.3"
"Deebo Samuel","SF","71.0","901.9","3.9","43.0","258.8","2.5","1.5","186.7"
"Chris Olave","NO","81.2","1,136.6","5.6","0.0","0.2","0.0","1.4","185.3"
"DeVonta Smith","PHI","84.3","1,062.3","6.3","0.0","0.2","0.0","0.6","184.8"
"DK Metcalf","SEA","82.0","1,006.2","7.1","0.2","1.3","0.0","0.8","182.6"
"Keenan Allen","LAC","90.0","1,008.4","5.5","1.6","8.9","0.0","0.6","179.0"
"Christian Watson","GB","69.6","955.3","6.1","7.4","66.6","1.0","0.3","178.8"
"Calvin Ridley","JAC","79.3","1,011.7","6.3","1.7","4.2","0.0","0.5","178.2"
"Jerry Jeudy","DEN","74.0","1,058.6","5.7","1.5","15.4","0.0","0.3","177.8"
"Terry McLaurin","WAS","72.4","1,032.7","5.2","3.1","19.4","0.1","0.4","172.1"
"Christian Kirk","JAC","76.0","946.1","6.2","3.3","19.9","0.1","0.4","171.2"
"Mike Williams","LAC","71.1","995.5","6.0","1.2","5.3","0.0","0.3","171.0"
"Chris Godwin","TB","92.6","980.9","4.4","2.3","11.3","0.1","1.0","170.5"
"DeAndre Hopkins","TEN","76.4","992.5","5.6","0.2","1.4","0.0","0.7","169.6"
"Mike Evans","TB","71.2","982.4","5.9","0.1","8.0","0.0","0.3","169.2"
"DJ Moore","CHI","65.0","911.7","6.1","5.1","33.0","0.0","0.5","162.7"
