,player,pts,bid,pos
1,Patrick Mahomes II,383.9,33.0,qb
2,Josh Allen,380.6,32.0,qb
3,Jalen Hurts,378.4,31.0,qb
4,Lamar Jackson,350.6,24.0,qb
5,Joe Burrow,350.0,23.0,qb
6,Justin Fields,326.0,17.0,qb
7,Justin Herbert,321.6,15.0,qb
8,Deshaun Watson,312.8,13.0,qb
9,Trevor Lawrence,300.4,9.0,qb
10,Kirk Cousins,300.3,9.0,qb
11,Dak Prescott,299.8,9.0,qb
12,Daniel Jones,297.3,8.0,qb
13,Geno Smith,295.9,8.0,qb
14,Aaron Rodgers,285.3,6.0,qb
15,Russell Wilson,282.4,6.0,qb
16,Jared Goff,276.4,4.0,qb
17,Tua Tagovailoa,276.2,4.0,qb
18,Anthony Richardson,263.0,2.0,qb
19,Derek Carr,252.8,1.0,qb
1,Christian McCaffrey,269.5,49.0,rb
2,Austin Ekeler,261.0,46.0,rb
3,Josh Jacobs,234.6,42.0,rb
4,Nick Chubb,232.4,44.0,rb
5,Derrick Henry,232.0,43.0,rb
6,Saquon Barkley,230.3,38.0,rb
7,Bijan Robinson,229.1,44.0,rb
8,Tony Pollard,226.8,38.0,rb
9,Joe Mixon,217.9,33.0,rb
10,Rhamondre Stevenson,215.2,31.0,rb
11,Jonathan Taylor,215.2,36.0,rb
12,Aaron Jones,210.9,31.0,rb
13,Najee Harris,202.7,30.0,rb
14,Breece Hall,201.3,29.0,rb
15,Travis Etienne Jr.,197.3,28.0,rb
16,Alexander Mattison,188.1,25.0,rb
17,James Conner,188.0,23.0,rb
18,Kenneth Walker III,187.6,26.0,rb
19,Jahmyr Gibbs,182.5,21.0,rb
20,Dameon Pierce,182.0,23.0,rb
21,Rachaad White,174.9,18.0,rb
22,Miles Sanders,174.0,20.0,rb
23,Isiah Pacheco,168.8,19.0,rb
24,Cam Akers,168.4,19.0,rb
25,J.K. Dobbins,167.8,19.0,rb
26,David Montgomery,164.9,17.0,rb
27,Javonte Williams,158.3,14.0,rb
28,James Cook,156.5,14.0,rb
29,Alvin Kamara,155.3,13.0,rb
30,D'Andre Swift,154.1,13.0,rb
31,AJ Dillon,145.0,12.0,rb
32,Brian Robinson Jr.,137.9,12.0,rb
33,Antonio Gibson,135.3,8.0,rb
34,Samaje Perine,131.2,8.0,rb
35,Khalil Herbert,127.0,8.0,rb
36,Jeff Wilson Jr.,124.0,7.0,rb
37,Rashaad Penny,120.1,8.0,rb
38,Jamaal Williams,114.7,7.0,rb
39,Raheem Mostert,112.0,6.0,rb
40,Elijah Mitchell,110.3,6.0,rb
41,Tyler Allgeier,105.4,6.0,rb
42,Damien Harris,105.2,5.0,rb
43,Jerick McKinnon,103.5,4.0,rb
44,Devin Singletary,102.5,4.0,rb
45,Chuba Hubbard,98.6,4.0,rb
46,Zach Charbonnet,97.6,4.0,rb
47,D'Onta Foreman,96.5,5.0,rb
48,Jaylen Warren,96.1,4.0,rb
49,De'Von Achane,94.8,4.0,rb
50,Gus Edwards,80.9,3.0,rb
51,Kenneth Gainwell,80.2,2.0,rb
52,Tank Bigsby,78.2,2.0,rb
53,Chase Edmonds,76.9,1.0,rb
54,Roschon Johnson,76.5,2.0,rb
55,Cordarrelle Patterson,74.4,1.0,rb
56,Zonovan Knight,72.6,1.0,rb
1,Justin Jefferson,258.6,49.0,wr
2,Ja'Marr Chase,252.2,47.0,wr
3,Tyreek Hill,248.9,46.0,wr
4,Cooper Kupp,246.7,45.0,wr
5,CeeDee Lamb,230.1,39.0,wr
6,Stefon Diggs,226.9,38.0,wr
7,Davante Adams,224.8,37.0,wr
8,A.J. Brown,212.0,35.0,wr
9,Amon-Ra St. Brown,208.3,28.0,wr
10,Jaylen Waddle,200.4,29.0,wr
11,Garrett Wilson,192.1,24.0,wr
12,Amari Cooper,187.5,24.0,wr
13,Tee Higgins,187.3,23.0,wr
14,Deebo Samuel,186.7,25.0,wr
15,Chris Olave,185.3,22.0,wr
16,DeVonta Smith,184.8,21.0,wr
17,DK Metcalf,182.6,21.0,wr
18,Keenan Allen,179.0,17.0,wr
19,Christian Watson,178.8,22.0,wr
20,Calvin Ridley,178.2,19.0,wr
21,Jerry Jeudy,177.8,20.0,wr
22,Terry McLaurin,172.1,18.0,wr
23,Christian Kirk,171.2,17.0,wr
24,Mike Williams,171.0,18.0,wr
25,Chris Godwin,170.5,12.0,wr
26,DeAndre Hopkins,169.6,16.0,wr
27,Mike Evans,169.2,17.0,wr
28,DJ Moore,162.7,15.0,wr
29,Drake London,161.5,12.0,wr
30,Marquise Brown,159.4,11.0,wr
31,Tyler Lockett,157.5,11.0,wr
32,Brandon Aiyuk,155.7,12.0,wr
33,Brandin Cooks,154.6,10.0,wr
34,Diontae Johnson,154.3,9.0,wr
35,Michael Pittman Jr.,151.1,8.0,wr
36,Jahan Dotson,147.6,10.0,wr
37,Gabe Davis,145.3,10.0,wr
38,George Pickens,145.0,9.0,wr
39,Jordan Addison,141.0,7.0,wr
40,Michael Thomas,138.2,6.0,wr
41,Treylon Burks,137.5,7.0,wr
42,JuJu Smith-Schuster,136.3,4.0,wr
43,Kadarius Toney,134.5,6.0,wr
44,Jaxon Smith-Njigba,132.0,5.0,wr
45,Courtland Sutton,130.0,4.0,wr
46,Jakobi Meyers,129.3,3.0,wr
47,Nico Collins,128.5,4.0,wr
48,Zay Flowers,127.4,4.0,wr
49,Rondale Moore,126.4,1.0,wr
50,Tyler Boyd,123.9,2.0,wr
51,Adam Thielen,121.3,2.0,wr
53,Allen Lazard,120.4,2.0,wr
54,Rashod Bateman,117.1,2.0,wr
55,Marquez Valdes-Scantling,115.6,2.0,wr
56,Quentin Johnston,115.0,1.0,wr
60,DeVante Parker,113.3,1.0,wr
62,DJ Chark Jr.,111.5,1.0,wr
